-13873	-12821	-7337	-14327	-19121	-16527	-15878	-14224
14198	-302	7408	11784	7880	-8610	16630	9507
4466	-937	16047	-14958	-9156	-17747	3080	-365
-10174	-9288	-2592	9831	17377	10597	8133	2155
10855	3000	-5063	4916	19533	16277	11940	316
-7881	-18	5635	-13255	-12216	4775	-1954	-10148
7099	-4009	-6246	-6671	9912	-14735	8550	2582
-6864	-5849	-7710	-15131	15685	-16465	-7687	3851
-16566	8646	2331	6613	2055	4033	1782	-2513
-7975	-16310	14708	-15238	4303	-6584	-4265	375
9708	-12421	-18780	15593	85	-16981	-320	11370
-1244	-17752	-9746	-10717	-5054	10074	-8653	6549
7708	16351	10349	2775	7494	-12723	7454	-678
15166	-17129	10238	19126	-7746	-169	16945	13147
9865	5039	18618	748	-3783	12144	-14152	15589
13490	-10068	9420	16861	-392	-16347	3327	9802
-11649	-4082	-510	-1419	3592	-1769	-11056	17254
-18716	7620	12462	13793	-5557	16947	18381	-10597
-3144	-4939	2300	2575	4496	-17679	12451	-3246
-16974	-18360	-14523	14722	-10521	9814	3042	9153
-11798	-7928	-11337	17347	12222	2316	3997	7304
174	-8332	-19559	15637	3519	1033	-7513	5414
-6315	-5042	-3692	-17342	9892	-6349	-1673	13308
